286.32 287.22	SHARON: 	 [<@ That's what] she does,
287.22 288.32	        	she gets real embarrassed,
288.32 290.12	        	and she just giggles like a goofball @>.
290.12 290.42	        	[(H)]
290.12 290.87	CAROLYN: 	[Turns] bright red.
290.87 291.97	SHARON: 	She- she does- --
291.97 292.27	        	Well,
292.27 292.72	        	she would,
292.72 292.82	        	if- --
292.82 293.07	        	You know,
293.07 295.07	        	if her skin weren't like .. really dark brown,
295.07 296.42	        	she'd [probably] be [2bright red2],
295.19 295.54	KATHY:  	      [@@]
295.74 296.42	CAROLYN: 	                    [2How funny man2].
296.42 296.69	SHARON: 	you know?
296.69 298.54	        	you- You can't really tell when they blush,
298.54 299.94	        	it's very .. unusual.
299.94 301.14	        	... (H) But um,
301.14 302.84	        	... her mom,
302.84 304.30	        	... (H) like,
304.30 305.68	        	.. it was a horrible situation,
305.68 306.42	        	where last week,
306.42 307.76	        	I wasn't there on Thursday,
307.76 308.76	        	cause I had to fill out all this,
308.76 309.86	        	... stupid n- --
309.86 310.56	        	.. n- (TSK) You know,
310.56 311.51	        	I had to do all this shit,
311.51 315.51	        	.. just in= order to get my (H) .. position secured there with the bureaucracy,
315.51 316.76	        	so they let me off for a day.
316.76 319.09	        	(H)= ... And there was a sub,
319.09 319.46	        	and,
319.46 320.91	        	what !Annalisa claims,
320.91 321.86	        	and her mother claims,
321.86 323.01	        	is that on that day,
323.01 325.41	        	they brought back the application for free lunch,
325.41 326.36	        	.. all filled out,
326.36 328.56	        	.. (H) and [that the s]u=b took it.
327.36 327.67	CAROLYN: 	           [ah=].
328.56 329.41	PAM:    	... [2(Hx)2]
328.86 329.41	SHARON: 	    [2Righ=t2]?
329.41 331.16	PAM:    	... <X Oh[3= for goodness sake X>3].
330.31 330.61	SHARON: 	         [3So=,
330.61 331.11	        	%= you know2],
331.11 332.46	        	I find this out a week later=.
332.46 333.71	        	... I kept bugging !Annalisa,
333.71 334.06	        	t- you know,
334.06 335.46	        	did you bring the form in=,
335.46 336.56	        	did you fill it all out,
336.56 337.61	        	why don't you get another one,
337.61 340.31	        	... (TSK) (H) and I search my desk,
340.31 341.01	        	and it's not there,
341.01 342.94	        	and I keep calling the office and sending notes,
342.94 344.01	        	and they keep calling me on the --
344.01 348.10	        	(H) their stupid [in]tercom system that you can hardly [2understand X2].
345.58 345.83	CAROLYN: 	                 [Mm],
347.33 348.58	        	[2You have to tell2] .. students,
348.58 351.18	        	never get .. give a tutor .. anything.
351.18 352.18	        	... anything.
352.18 352.68	        	.. ever.
352.68 353.98	        	.. (H) Not even homework.
353.98 357.43	        	They wouldn't let us give homework to (H) the high= school ... tut[ors].
357.20 357.43	SHARON: 	                                                                  [<X I know X>].
357.43 358.03	CAROLYN: 	because they just,
358.03 358.58	        	they lose it.
358.58 359.03	SHARON: 	(H)
359.03 359.53	CAROLYN: 	They don't care.
359.53 360.38	SHARON: 	.. Yeah.
360.38 360.98	        	... [Well],
360.68 360.93	CAROLYN: 	    [They- --
360.93 362.28	        	They] don't give a shit about .. anything.
362.28 363.03	SHARON: 	.. I know.
363.03 363.78	CAROLYN: 	(Hx)[=]
363.30 366.21	SHARON: 	    [I% I] .. I hadn't thought of that at th- at that point last week.
366.21 367.51	        	<VOX Let me out of [2here2] VOX>.
367.08 371.30	CAROLYN: 	                   [2(THROAT) Un2]less they've just begun ... subbing.
371.30 372.00	SHARON: 	Well this [3woman3],
371.55 372.60	CAROLYN: 	          [3because th3]en they're like,
372.60 372.95	SHARON: 	(Hx)
372.95 374.60	CAROLYN: 	.. (H) <Q What are we gonna learn today.
374.60 375.06	SHARON: 	[@@]
374.65 376.96	CAROLYN: 	[(H) See] I'm originally a .. PE teacher,
376.96 377.26	        	[2but2],
376.91 377.81	SHARON:  	[2@@2]@@@
377.81 379.05	KATHY:  	[3@@@@@@3]
377.81 379.05	CAROLYN: 	[3I guess I can teach math Q>3]?
379.05 379.53	SHARON: 	[4@@@4]
379.05 379.39	CAROLYN: 	[4You know,
379.39 380.78	        	they4] come in with that .. attitude,
380.78 381.08	        	and they go,
381.08 382.98	        	.. ((THUMP)) <Q I've always wanted to teach math.
382.98 383.73	SHARON: 	@@
383.73 384.26	CAROLYN: 	(H) Now,
384.26 385.13	        	(H) [what are we on Q>]?
384.43 385.68	SHARON: 	    [<VOX It's gonna be] .. [2great VOX>2].
385.23 385.68	CAROLYN: 	                            [2@2]
385.68 386.37	        	(H) You know,
386.37 386.98	        	and you're saying,
386.98 387.31	        	.. uh,
387.31 387.96	        	we're on,
387.96 389.81	        	(H) ... uh=,
389.81 390.66	KATHY:  	.. @@@
390.66 391.91	CAROLYN: 	<L square root of pi= L>?
391.91 392.23	        	[Uh,
391.91 392.77	KATHY:  	[@@@]
392.23 393.35	CAROLYN: 	And they look at] you and they go,
393.35 395.30	        	... <Q the what Q>?
395.30 396.70	SHARON: 	.. @@@@@@
396.70 397.90	CAROLYN: 	So they don't know what the hell they're doing.
397.90 398.40	        	[<Q uh],
397.90 398.40	SHARON: 	[<Q pi=]?
